activity_type,date,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,avg_stride_length,climb_time,temperature,number_of_laps,number_of_runs,month,year,week,weekday,quarter,time_exercise,date_exercise,day_of_week,time_day,week_or_end,cal_per_km,temp_buckets
Elliptical,2020-10-03 16:46:25,Elliptical,0.0,100.0,00:10:01,114,134,0.9,88.0,125.0,,,0.0,10:01,25.0,1,1.0,10,2020,40,5,4,16:46:25,2020-10-03,Saturday,afternoon,weekend,0.0,Hot (>23C)
Running,2020-10-02 18:03:52,Sydney Running,4.83,407.0,00:25:06,159,172,3.4,163.0,174.0,8:22,6:53,1.18,25:06,19.0,4,4.0,10,2020,40,4,4,18:03:52,2020-10-02,Friday,night,week_day,84.27,Normal (14-23C)
Running,2020-09-29 15:17:38,Sydney Running,6.6,523.0,00:31:52,161,177,3.8,166.0,181.0,7:47,6:13,1.25,31:52,18.000000000000004,5,5.0,9,2020,40,1,3,15:17:38,2020-09-29,Tuesday,afternoon,week_day,79.24,Normal (14-23C)
Elliptical,2020-09-27 21:18:59,Elliptical,0.0,67.0,00:10:18,96,108,0.2,88.0,119.0,,,0.0,10:18,24.0,1,1.0,9,2020,39,6,3,21:18:59,2020-09-27,Sunday,night,weekend,0.0,Hot (>23C)
Running,2020-09-26 16:27:51,Sydney Running,2.49,203.0,00:12:29,161,174,2.7,165.0,180.0,8:05,7:27,1.2,12:29,17.0,2,2.0,9,2020,39,5,3,16:27:51,2020-09-26,Saturday,afternoon,weekend,81.53,Normal (14-23C)
Elliptical,2020-09-25 17:00:45,Elliptical,0.0,160.0,00:23:39,101,111,0.3,79.0,112.0,,,0.0,23:39,25.0,1,1.0,9,2020,39,4,3,17:00:45,2020-09-25,Friday,afternoon,week_day,0.0,Hot (>23C)
Running,2020-09-24 17:22:13,Sydney Running,4.86,379.0,00:25:42,147,160,3.0,160.0,174.0,8:31,6:44,1.18,25:42,18.000000000000004,4,4.0,9,2020,39,3,3,17:22:13,2020-09-24,Thursday,afternoon,week_day,77.98,Normal (14-23C)
Treadmill Running,2020-09-23 15:41:30,Treadmill Running,3.77,338.0,00:21:21,154,170,3.2,170.0,184.0,9:07,7:41,1.04,21:21,23.000000000000004,3,3.0,9,2020,39,2,3,15:41:30,2020-09-23,Wednesday,afternoon,week_day,89.66,Hot (>23C)
Running,2020-09-22 17:52:38,Sydney Running,4.84,408.0,00:25:57,153,170,3.3,164.0,181.0,8:37,6:36,1.14,25:57,20.999999999999996,4,4.0,9,2020,39,1,3,17:52:38,2020-09-22,Tuesday,afternoon,week_day,84.3,Normal (14-23C)
Running,2020-09-19 17:51:13,Sydney Running,5.63,464.0,00:31:14,149,168,3.1,161.0,171.0,8:55,7:30,1.12,31:14,19.0,4,4.0,9,2020,38,5,3,17:51:13,2020-09-19,Saturday,afternoon,weekend,82.42,Normal (14-23C)
Treadmill Running,2020-09-18 17:01:46,Treadmill Running,3.36,296.0,00:19:57,143,156,2.7,157.0,162.0,9:33,7:55,1.23,19:57,21.999999999999996,3,3.0,9,2020,38,4,3,17:01:46,2020-09-18,Friday,afternoon,week_day,88.1,Normal (14-23C)
Elliptical,2020-09-17 18:59:18,Elliptical,0.0,203.0,00:21:30,114,156,1.1,83.0,166.0,,,0.0,21:30,24.0,1,1.0,9,2020,38,3,3,18:59:18,2020-09-17,Thursday,night,week_day,0.0,Hot (>23C)
Running,2020-09-16 13:23:19,Sydney Running,6.94,544.0,00:37:30,144,168,3.3,163.0,175.0,8:42,7:16,1.13,37:30,25.999999999999996,5,5.0,9,2020,38,2,3,13:23:19,2020-09-16,Wednesday,afternoon,week_day,78.39,Hot (>23C)
Elliptical,2020-09-15 16:00:01,Elliptical,0.0,231.0,00:25:14,112,140,1.3,81.0,215.0,,,0.0,25:14,25.0,1,1.0,9,2020,38,1,3,16:00:01,2020-09-15,Tuesday,afternoon,week_day,0.0,Hot (>23C)
Running,2020-09-14 18:01:44,Sydney Running,4.99,374.0,00:27:45,137,155,2.6,161.0,170.0,8:56,7:41,1.12,27:45,17.0,4,4.0,9,2020,38,0,3,18:01:44,2020-09-14,Monday,night,week_day,74.95,Normal (14-23C)
Running,2020-09-12 17:29:29,Sydney Running,4.84,334.0,00:25:15,135,156,2.5,164.0,171.0,8:24,7:25,1.17,25:15,18.000000000000004,4,4.0,9,2020,37,5,3,17:29:29,2020-09-12,Saturday,afternoon,weekend,69.01,Normal (14-23C)
Elliptical,2020-09-12 13:27:34,Elliptical,0.0,284.0,00:24:48,125,137,2.0,85.0,139.0,,,0.0,24:48,25.0,1,1.0,9,2020,37,5,3,13:27:34,2020-09-12,Saturday,afternoon,weekend,0.0,Hot (>23C)
Running,2020-09-11 15:45:05,Sydney Running,4.89,365.0,00:25:12,145,158,2.9,166.0,174.0,8:17,7:10,1.17,25:12,18.000000000000004,4,4.0,9,2020,37,4,3,15:45:05,2020-09-11,Friday,afternoon,week_day,74.64,Normal (14-23C)
Elliptical,2020-09-10 19:00:52,Elliptical,0.0,183.0,00:22:27,108,128,0.6,54.0,159.0,,,0.0,22:27,24.0,1,1.0,9,2020,37,3,3,19:00:52,2020-09-10,Thursday,night,week_day,0.0,Hot (>23C)
Treadmill Running,2020-09-09 17:33:52,Treadmill Running,4.91,318.0,00:24:57,133,159,2.5,165.0,171.0,8:11,7:40,1.2,24:57,23.000000000000004,4,4.0,9,2020,37,2,3,17:33:52,2020-09-09,Wednesday,afternoon,week_day,64.77,Hot (>23C)
Treadmill Running,2020-09-08 15:04:03,Treadmill Running,4.78,348.0,00:24:03,143,155,2.8,166.0,172.0,8:05,7:42,1.2,24:03,23.000000000000004,3,3.0,9,2020,37,1,3,15:04:03,2020-09-08,Tuesday,afternoon,week_day,72.8,Hot (>23C)
Running,2020-09-07 18:36:25,Sydney Running,6.84,537.0,00:37:44,146,164,3.2,164.0,174.0,8:52,7:30,1.11,37:44,18.000000000000004,5,5.0,9,2020,37,0,3,18:36:25,2020-09-07,Monday,night,week_day,78.51,Normal (14-23C)
Elliptical,2020-09-06 16:21:49,Elliptical,0.0,81.0,00:08:26.1,114,131,0.5,93.0,112.0,,,0.0,8:26.1,25.0,1,1.0,9,2020,36,6,3,16:21:49,2020-09-06,Sunday,afternoon,weekend,0.0,Hot (>23C)
Elliptical,2020-09-05 12:08:14,Elliptical,0.0,221.0,00:27:12,108,132,0.8,77.0,110.0,,,0.0,27:12,23.000000000000004,1,1.0,9,2020,36,5,3,12:08:14,2020-09-05,Saturday,afternoon,weekend,0.0,Hot (>23C)
Running,2020-09-03 17:41:36,Sydney Running,9.67,748.0,00:49:06,156,176,3.8,164.0,181.0,8:10,6:28,1.2,49:06,23.000000000000004,7,7.0,9,2020,36,3,3,17:41:36,2020-09-03,Thursday,afternoon,week_day,77.35,Hot (>23C)
Treadmill Running,2020-09-02 16:11:15,Treadmill Running,5.73,441.0,00:29:28,150,173,3.2,160.0,164.0,8:16,7:40,1.22,29:28,23.000000000000004,4,4.0,9,2020,36,2,3,16:11:15,2020-09-02,Wednesday,afternoon,week_day,76.96,Hot (>23C)
Treadmill Running,2020-09-01 15:01:45,Treadmill Running,4.73,312.0,00:23:41,136,157,2.5,166.0,183.0,8:04,6:45,1.2,23:41,20.999999999999996,3,3.0,9,2020,36,1,3,15:01:45,2020-09-01,Tuesday,afternoon,week_day,65.96,Normal (14-23C)
Running,2020-08-31 13:34:33,Royal National Park Running,1.64,147.0,00:09:24.0,159,168,2.3,129.0,184.0,9:13,7:07,1.36,9:24.0,17.0,3,3.0,8,2020,36,0,3,13:34:33,2020-08-31,Monday,afternoon,week_day,89.63,Normal (14-23C)
Running,2020-08-31 13:08:36,Running,3.67,280.0,00:19:45,144,167,2.7,150.0,200.0,8:39,6:21,1.24,19:45,18.000000000000004,3,3.0,8,2020,36,0,3,13:08:36,2020-08-31,Monday,afternoon,week_day,76.29,Normal (14-23C)
Treadmill Running,2020-08-30 17:08:35,Treadmill Running,5.01,370.0,00:24:28,151,166,3.1,167.0,171.0,7:52,7:19,1.23,24:28,23.000000000000004,4,4.0,8,2020,35,6,3,17:08:35,2020-08-30,Sunday,afternoon,weekend,73.85,Hot (>23C)
Treadmill Running,2020-08-29 13:22:23,Treadmill Running,4.88,357.0,00:24:19,148,163,3.0,165.0,173.0,8:01,7:14,1.21,24:19,23.000000000000004,4,4.0,8,2020,35,5,3,13:22:23,2020-08-29,Saturday,afternoon,weekend,73.16,Hot (>23C)
Running,2020-08-28 15:20:00,Sydney Running,8.06,648.0,00:41:38,159,180,3.8,166.0,182.0,8:19,7:02,1.17,41:38,17.0,6,6.0,8,2020,35,4,3,15:20:00,2020-08-28,Friday,afternoon,week_day,80.4,Normal (14-23C)
Treadmill Running,2020-08-27 18:12:53,Treadmill Running,4.92,365.0,00:23:40,155,181,3.2,162.0,169.0,7:45,7:08,1.28,23:40,21.999999999999996,4,4.0,8,2020,35,3,3,18:12:53,2020-08-27,Thursday,night,week_day,74.19,Normal (14-23C)
Running,2020-08-26 16:34:58,Sydney Running,4.91,405.0,00:26:22,158,176,3.3,162.0,172.0,8:39,7:13,1.15,26:22,15.999999999999998,4,4.0,8,2020,35,2,3,16:34:58,2020-08-26,Wednesday,afternoon,week_day,82.48,Normal (14-23C)
Running,2020-08-25 19:43:41,Sydney Running,6.45,535.0,00:36:41,151,169,3.3,160.0,172.0,9:09,7:45,1.1,36:41,12.999999999999998,5,5.0,8,2020,35,1,3,19:43:41,2020-08-25,Tuesday,night,week_day,82.95,Cold (<14C)
Treadmill Running,2020-08-24 20:27:16,Treadmill Running,1.66,126.0,00:08:36.2,147,158,2.1,160.0,168.0,8:22,7:25,1.2,8:36.2,23.000000000000004,2,2.0,8,2020,35,0,3,20:27:16,2020-08-24,Monday,night,week_day,75.9,Hot (>23C)
Running,2020-08-23 14:54:34,Royal National Park Running,1.34,112.0,00:07:22.4,152,162,2.1,161.0,178.0,8:53,2:58,1.13,7:22.4,17.0,1,1.0,8,2020,34,6,3,14:54:34,2020-08-23,Sunday,afternoon,weekend,83.58,Normal (14-23C)
Running,2020-08-23 14:21:06,Royal National Park Running,3.35,307.0,00:22:24,143,166,2.7,148.0,243.0,10:48,8:04,1.0,22:24,18.000000000000004,3,3.0,8,2020,34,6,3,14:21:06,2020-08-23,Sunday,afternoon,weekend,91.64,Normal (14-23C)
Running,2020-08-22 17:44:07,Sydney Running,6.9,609.0,00:39:01,158,186,3.9,163.0,176.0,9:06,7:44,1.09,39:01,12.999999999999998,5,5.0,8,2020,34,5,3,17:44:07,2020-08-22,Saturday,afternoon,weekend,88.26,Cold (<14C)
Treadmill Running,2020-08-21 18:30:11,Treadmill Running,4.99,389.0,00:26:10,149,164,3.1,161.0,172.0,8:26,7:00,1.19,26:10,20.999999999999996,4,4.0,8,2020,34,4,3,18:30:11,2020-08-21,Friday,night,week_day,77.96,Normal (14-23C)
Running,2020-08-20 16:58:06,Sydney Running,8.06,649.0,00:42:26,156,171,3.7,164.0,180.0,8:28,6:43,1.15,42:26,15.0,6,6.0,8,2020,34,3,3,16:58:06,2020-08-20,Thursday,afternoon,week_day,80.52,Normal (14-23C)
Treadmill Running,2020-08-19 15:44:38,Treadmill Running,5.04,369.0,00:24:56,148,166,3.1,162.0,166.0,7:58,7:39,1.25,24:56,20.999999999999996,4,4.0,8,2020,34,2,3,15:44:38,2020-08-19,Wednesday,afternoon,week_day,73.21,Normal (14-23C)
Running,2020-08-18 15:46:04,Sydney Running,6.45,518.0,00:33:29,156,166,3.5,165.0,225.0,8:21,6:51,1.17,33:29,18.000000000000004,5,5.0,8,2020,34,1,3,15:46:04,2020-08-18,Tuesday,afternoon,week_day,80.31,Normal (14-23C)
Treadmill Running,2020-08-17 16:34:59,Treadmill Running,4.94,415.0,00:26:46,154,166,3.4,159.0,171.0,8:43,7:44,1.16,26:46,23.000000000000004,4,4.0,8,2020,34,0,3,16:34:59,2020-08-17,Monday,afternoon,week_day,84.01,Hot (>23C)
Running,2020-08-15 16:34:59,Sydney Running,6.58,563.0,00:36:34,157,180,3.7,160.0,192.0,8:57,6:45,1.12,36:34,17.0,5,5.0,8,2020,33,5,3,16:34:59,2020-08-15,Saturday,afternoon,weekend,85.56,Normal (14-23C)
Running,2020-08-13 15:39:59,Sydney Running,6.47,561.0,00:37:34,155,171,3.5,161.0,214.0,9:20,6:55,1.07,37:34,19.0,5,5.0,8,2020,33,3,3,15:39:59,2020-08-13,Thursday,afternoon,week_day,86.71,Normal (14-23C)
Running,2020-08-12 19:08:37,Sydney Running,4.84,421.0,00:26:43,157,176,3.5,160.0,174.0,8:53,8:00,1.13,26:43,15.0,4,4.0,8,2020,33,2,3,19:08:37,2020-08-12,Wednesday,night,week_day,86.98,Normal (14-23C)
Running,2020-08-11 15:36:08,Sydney Running,8.06,645.0,00:43:18,152,171,3.6,163.0,178.0,8:39,7:03,1.14,43:18,15.999999999999998,6,6.0,8,2020,33,1,3,15:36:08,2020-08-11,Tuesday,afternoon,week_day,80.02,Normal (14-23C)
Running,2020-08-10 13:40:41,Sydney Running,6.45,506.0,00:35:16,148,164,3.3,163.0,176.0,8:48,7:25,1.12,35:16,17.0,5,5.0,8,2020,33,0,3,13:40:41,2020-08-10,Monday,afternoon,week_day,78.45,Normal (14-23C)
Running,2020-08-08 15:34:34,Sydney Running,6.45,535.0,00:38:50,144,166,3.2,160.0,170.0,9:41,8:00,1.04,38:50,15.999999999999998,5,5.0,8,2020,32,5,3,15:34:34,2020-08-08,Saturday,afternoon,weekend,82.95,Normal (14-23C)
Elliptical,2020-08-06 11:20:50,Elliptical,0.0,170.0,00:20:57,108,144,0.8,66.0,152.0,,,0.0,20:57,23.000000000000004,1,1.0,8,2020,32,3,3,11:20:50,2020-08-06,Thursday,morning,week_day,0.0,Hot (>23C)
Treadmill Running,2020-08-05 12:17:26,Treadmill Running,1.0,67.0,00:05:04.7,133,146,1.1,160.0,166.0,8:13,7:40,1.23,5:04.7,25.0,1,1.0,8,2020,32,2,3,12:17:26,2020-08-05,Wednesday,afternoon,week_day,67.0,Hot (>23C)
Running,2020-08-04 17:49:24,Sydney Running,6.45,629.0,00:38:49,164,186,4.4,159.0,169.0,9:41,7:51,1.05,38:49,15.999999999999998,5,5.0,8,2020,32,1,3,17:49:24,2020-08-04,Tuesday,afternoon,week_day,97.52,Normal (14-23C)
Running,2020-08-03 16:51:27,Sydney Running,8.06,748.0,00:47:31,160,181,4.4,158.0,167.0,9:29,7:37,1.07,47:31,15.999999999999998,6,6.0,8,2020,32,0,3,16:51:27,2020-08-03,Monday,afternoon,week_day,92.8,Normal (14-23C)
Running,2020-08-01 16:26:37,Sydney Running,8.29,645.0,00:42:22,154,174,4.0,163.0,182.0,8:14,5:45,1.19,42:22,15.0,6,6.0,8,2020,31,5,3,16:26:37,2020-08-01,Saturday,afternoon,weekend,77.8,Normal (14-23C)
Running,2020-07-31 16:47:49,Sydney Running,6.81,578.0,00:36:28,158,183,4.4,162.0,174.0,8:38,6:28,1.15,36:28,14.000000000000002,5,5.0,7,2020,31,4,3,16:47:49,2020-07-31,Friday,afternoon,week_day,84.88,Normal (14-23C)
Treadmill Running,2020-07-30 16:18:30,Treadmill Running,1.67,109.0,00:07:22.4,145,158,2.3,167.0,171.0,7:06,6:29,1.36,7:22.4,23.000000000000004,2,2.0,7,2020,31,3,3,16:18:30,2020-07-30,Thursday,afternoon,week_day,65.27,Hot (>23C)
Treadmill Running,2020-07-29 11:36:48,Treadmill Running,3.6,243.0,00:17:27,138,153,2.9,161.0,168.0,7:47,6:52,1.28,17:27,23.000000000000004,3,3.0,7,2020,31,2,3,11:36:48,2020-07-29,Wednesday,morning,week_day,67.5,Hot (>23C)
Treadmill Running,2020-07-28 16:31:10,Treadmill Running,3.69,235.0,00:16:48,139,151,2.9,160.0,169.0,7:21,5:40,1.38,16:48,23.000000000000004,3,3.0,7,2020,31,1,3,16:31:10,2020-07-28,Tuesday,afternoon,week_day,63.69,Hot (>23C)
Treadmill Running,2020-07-27 19:14:02,Treadmill Running,1.66,107.0,00:08:14.8,131,143,2.0,159.0,166.0,8:02,6:48,1.26,8:14.8,25.0,2,2.0,7,2020,31,0,3,19:14:02,2020-07-27,Monday,night,week_day,64.46,Hot (>23C)
Treadmill Running,2020-07-26 15:17:05,Treadmill Running,1.03,63.0,00:04:22.9,142,152,1.8,171.0,175.0,6:51,5:11,1.38,4:22.9,25.999999999999996,1,1.0,7,2020,30,6,3,15:17:05,2020-07-26,Sunday,afternoon,weekend,61.17,Hot (>23C)
Running,2020-07-24 16:23:18,Sydney Running,4.97,369.0,00:25:12,146,170,3.5,157.0,184.0,8:09,6:02,1.26,25:12,17.0,4,4.0,7,2020,30,4,3,16:23:18,2020-07-24,Friday,afternoon,week_day,74.25,Normal (14-23C)
Treadmill Running,2020-07-22 17:29:20,Treadmill Running,1.66,111.0,00:07:58.9,139,153,2.2,163.0,173.0,7:45,5:46,1.27,7:58.9,24.0,2,2.0,7,2020,30,2,3,17:29:20,2020-07-22,Wednesday,afternoon,week_day,66.87,Hot (>23C)
Treadmill Running,2020-07-22 16:38:38,Treadmill Running,1.77,105.0,00:08:29.3,128,148,2.0,157.0,165.0,7:44,7:08,1.32,8:29.3,24.0,2,2.0,7,2020,30,2,3,16:38:38,2020-07-22,Wednesday,afternoon,week_day,59.32,Hot (>23C)
Treadmill Running,2020-07-21 20:04:57,Treadmill Running,1.69,130.0,00:08:06.8,158,166,2.6,161.0,168.0,7:44,6:54,1.3,8:06.8,23.000000000000004,2,2.0,7,2020,30,1,3,20:04:57,2020-07-21,Tuesday,night,week_day,76.92,Hot (>23C)
Running,2020-07-20 11:14:32,Sydney Running,6.23,471.0,00:27:57,163,187,4.8,166.0,188.0,7:14,4:49,1.34,27:57,17.0,4,4.0,7,2020,30,0,3,11:14:32,2020-07-20,Monday,morning,week_day,75.6,Normal (14-23C)
Treadmill Running,2020-07-18 15:20:28,Treadmill Running,1.67,93.0,00:07:00.9,133,146,2.0,166.0,213.0,6:43,5:10,1.44,7:00.9,23.000000000000004,2,2.0,7,2020,29,5,3,15:20:28,2020-07-18,Saturday,afternoon,weekend,55.69,Hot (>23C)
Treadmill Running,2020-07-17 18:53:44,Treadmill Running,1.67,108.0,00:07:31.5,143,160,2.3,161.0,173.0,7:14,5:19,1.38,7:31.5,25.0,2,2.0,7,2020,29,4,3,18:53:44,2020-07-17,Friday,night,week_day,64.67,Hot (>23C)
Treadmill Running,2020-07-13 18:00:37,Treadmill Running,1.11,109.0,00:10:34,121,153,2.0,79.0,168.0,15:22,6:21,1.33,10:34,23.000000000000004,1,1.0,7,2020,29,0,3,18:00:37,2020-07-13,Monday,night,week_day,98.2,Hot (>23C)
Treadmill Running,2020-07-12 16:23:56,Treadmill Running,1.17,61.0,00:04:52.5,128,138,1.2,164.0,169.0,6:40,5:42,1.47,4:52.5,25.0,1,1.0,7,2020,28,6,3,16:23:56,2020-07-12,Sunday,afternoon,weekend,52.14,Hot (>23C)
Elliptical,2020-07-10 18:10:35,Elliptical,0.0,200.0,00:21:57,113,129,1.4,12.0,123.0,,,0.0,21:57,25.0,1,1.0,7,2020,28,4,3,18:10:35,2020-07-10,Friday,night,week_day,0.0,Hot (>23C)
Treadmill Running,2020-07-09 18:34:00,Treadmill Running,2.49,146.0,00:10:50,135,149,2.3,161.0,170.0,7:00,6:03,1.42,10:50,25.0,2,2.0,7,2020,28,3,3,18:34:00,2020-07-09,Thursday,night,week_day,58.63,Hot (>23C)
Treadmill Running,2020-07-08 20:01:36,Treadmill Running,1.08,54.0,00:04:45.4,122,132,0.8,162.0,171.0,7:09,5:48,1.39,4:45.4,24.0,1,1.0,7,2020,28,2,3,20:01:36,2020-07-08,Wednesday,night,week_day,50.0,Hot (>23C)
Treadmill Running,2020-07-07 19:27:56,Treadmill Running,0.85,48.0,00:03:43.5,132,139,1.1,163.0,166.0,7:05,6:13,1.4,3:43.5,23.000000000000004,1,1.0,7,2020,28,1,3,19:27:56,2020-07-07,Tuesday,night,week_day,56.47,Hot (>23C)
Treadmill Running,2020-07-06 17:01:24,Treadmill Running,0.97,72.0,00:04:48.0,148,161,2.0,141.0,172.0,8:02,5:56,1.42,4:48.0,25.0,1,1.0,7,2020,28,0,3,17:01:24,2020-07-06,Monday,afternoon,week_day,74.23,Hot (>23C)
Treadmill Running,2020-07-02 19:58:20,Treadmill Running,1.67,98.0,00:07:19.7,135,146,2.0,165.0,175.0,7:01,5:31,1.39,7:19.7,23.000000000000004,2,2.0,7,2020,27,3,3,19:58:20,2020-07-02,Thursday,night,week_day,58.68,Hot (>23C)
Treadmill Running,2020-06-29 19:50:56,Treadmill Running,1.09,79.0,00:06:41.8,125,141,1.4,119.0,174.0,9:51,5:38,1.37,6:41.8,21.999999999999996,1,1.0,6,2020,27,0,2,19:50:56,2020-06-29,Monday,night,week_day,72.48,Normal (14-23C)
Running,2020-06-27 16:08:07,Sydney Running,7.15,609.0,00:46:20,148,186,5.0,125.0,186.0,10:26,6:40,1.33,46:20,15.999999999999998,5,5.0,6,2020,26,5,2,16:08:07,2020-06-27,Saturday,afternoon,weekend,85.17,Normal (14-23C)
Treadmill Running,2020-06-26 19:59:12,Treadmill Running,1.22,82.0,00:06:39.7,126,145,1.6,158.0,171.0,8:43,6:34,1.17,6:39.7,23.000000000000004,1,1.0,6,2020,26,4,2,19:59:12,2020-06-26,Friday,night,week_day,67.21,Hot (>23C)
Treadmill Running,2020-06-25 20:06:13,Treadmill Running,0.8,133.0,00:12:39,121,146,1.7,62.0,172.0,25:05,7:35,1.04,12:39,21.999999999999996,1,1.0,6,2020,26,3,2,20:06:13,2020-06-25,Thursday,night,week_day,166.25,Normal (14-23C)
Running,2020-05-18 18:19:47,Sydney Running,6.45,561.0,00:33:26,157,173,3.8,163.0,175.0,8:21,7:00,1.18,33:26,20.0,5,5.0,5,2020,21,0,2,18:19:47,2020-05-18,Monday,night,week_day,86.98,Normal (14-23C)
Running,2020-05-14 16:36:57,Sydney Running,4.81,401.0,00:24:43,150,164,3.2,163.0,172.0,8:17,6:52,1.19,24:43,18.000000000000004,3,3.0,5,2020,20,3,2,16:36:57,2020-05-14,Thursday,afternoon,week_day,83.37,Normal (14-23C)
Running,2020-05-10 15:56:06,Sydney Running,4.84,432.0,00:25:39,157,182,3.5,163.0,178.0,8:32,7:10,1.15,25:39,19.0,4,4.0,5,2020,19,6,2,15:56:06,2020-05-10,Sunday,afternoon,weekend,89.26,Normal (14-23C)
Running,2020-05-06 19:50:19,Sydney Running,6.5,569.0,00:34:03,158,176,3.7,164.0,176.0,8:26,7:06,1.16,34:03,17.0,5,5.0,5,2020,19,2,2,19:50:19,2020-05-06,Wednesday,night,week_day,87.54,Normal (14-23C)
Running,2020-05-05 20:02:20,Sydney Running,4.55,410.0,00:25:13,150,172,3.3,162.0,182.0,8:54,6:38,1.11,25:13,18.000000000000004,3,3.0,5,2020,19,1,2,20:02:20,2020-05-05,Tuesday,night,week_day,90.11,Normal (14-23C)
Running,2020-05-03 20:56:35,Sydney Running,6.71,639.0,00:38:03,158,186,4.0,158.0,176.0,9:08,7:30,1.11,38:03,15.0,5,5.0,5,2020,18,6,2,20:56:35,2020-05-03,Sunday,night,weekend,95.23,Normal (14-23C)
Running,2020-04-28 20:30:54,Sydney Running,4.68,381.0,00:24:25,146,160,3.0,157.0,175.0,8:23,7:22,1.23,24:25,20.999999999999996,3,3.0,4,2020,18,1,2,20:30:54,2020-04-28,Tuesday,night,week_day,81.41,Normal (14-23C)
Running,2020-04-27 17:53:13,Sydney Running,6.45,527.0,00:32:20,150,174,3.5,165.0,185.0,8:03,6:11,1.21,32:20,20.999999999999996,5,5.0,4,2020,18,0,2,17:53:13,2020-04-27,Monday,afternoon,week_day,81.71,Normal (14-23C)
Running,2020-04-26 15:55:14,Sydney Running,4.63,365.0,00:24:52,139,160,2.8,162.0,185.0,8:38,6:11,1.15,24:52,25.0,3,3.0,4,2020,17,6,2,15:55:14,2020-04-26,Sunday,afternoon,weekend,78.83,Hot (>23C)
